warehouse number,warehouse_id,warehouse_address,cargo_arrival,shipment_errors,customer_rating,total_capacity,remaining_capacity,store_id,sku
35,333753,"555 Elm St, Sunset, USA",Ship,4,2,"1,900,000","1,900,000",477788,165554
36,253968,"777 Pine Ave, Riverside, USA",Ship,5,4,"5,800,000","5,800,000",109293,579250
37,618402,"888 Maple Ln, Hillside, USA",Ship,3,5,"7,400,000","7,400,000",138265,301996
38,570307,"999 Birch Rd, Seaside, USA",Ship,2,4,"3,400,000","3,400,000",634328,496351
39,239660,"444 Cedar Ave, Valleyview, USA",Ship,5,1,"8,600,000","8,600,000",456288,596954
40,927887,"222 Willow St, Forestville, USA",Ship,4,2,"8,400,000","8,400,000",345782,582542
41,627235,"123 Spruce Ave, Lakeshore, USA",Ship,5,1,"5,300,000","5,300,000",267182,804597
42,826431,"456 Oakwood Dr, Meadowville, USA",Ship,5,5,"7,300,000","7,300,000",724117,147111
43,350112,"789 Elm St, Sunset, USA",Ship,3,5,"6,600,000","6,600,000",424353,221283
44,343803,"321 Pine Ave, Riverside, USA",Ship,3,1,"2,700,000","2,700,000",940630,784396
45,153241,"555 Maple Ln, Hillside, USA",Ship,3,1,"7,400,000","7,400,000",311283,452161
46,911000,"777 Birch Rd, Seaside, USA",Ship,5,1,"1,300,000","1,300,000",273667,965803
47,701361,"888 Cedar Ave, Valleyview, USA",Ship,3,4,"2,700,000","2,700,000",343507,888653
48,858088,"999 Willow St, Forestville, USA",Ship,5,1,"3,300,000","3,300,000",106933,341366
49,651555,"444 Spruce Ave, Lakeshore, USA",Ship,5,4,"3,500,000","3,500,000",764824,582348
50,832003,"222 Oakwood Dr, Meadowville, USA",Ship,5,3,"9,900,000","9,900,000",460962,934699
51,844411,,Ship,4,1,"6,000,000","6,000,000",476228,924304
52,619938,,Ship,4,4,"3,900,000","3,900,000",341829,898866
53,271871,,Ship,4,3,"2,700,000","2,700,000",470595,154094
54,844620,,Ship,2,1,"2,000,000","2,000,000",851775,925850
55,514598,,Ship,4,3,"9,900,000","9,900,000",431886,525607
56,194424,,Ship,2,5,"8,200,000","8,200,000",312465,868401
57,959023,,Ship,3,3,"8,100,000","8,100,000",214338,634233
58,415325,,Ship,3,3,"2,900,000","2,900,000",338498,214811
59,566231,,Ship,5,5,"8,000,000","8,000,000",689058,556225
60,239041,,Ship,4,1,"5,000,000","5,000,000",838361,653951
61,463860,,Ship,3,1,"2,500,000","2,500,000",248499,197123
62,576570,,Ship,3,3,"8,000,000","8,000,000",653102,858155
63,976241,,Ship,5,1,"8,300,000","8,300,000",740389,683376
64,314375,,Ship,3,1,"2,500,000","2,500,000",310930,337397
65,838582,,Ship,4,5,"1,400,000","1,400,000",750351,273312
66,494584,,Ship,3,2,"3,600,000","3,600,000",207559,203635
67,136191,,Ship,3,2,"6,000,000","6,000,000",327964,209968
68,728831,,Ship,3,3,"8,900,000","8,900,000",416927,585952
69,145418,,Ship,4,2,"3,200,000","3,200,000",165040,687853
70,578663,,Ship,3,5,"2,800,000","2,800,000",485627,669879
71,378265,,Ship,5,1,"7,500,000","7,500,000",877874,175455
72,602889,,Ship,5,5,"6,100,000","6,100,000",640261,961661
73,851049,,Ship,5,5,"9,900,000","9,900,000",687600,624330
74,428634,,Ship,4,5,"4,300,000","4,300,000",953138,468843
75,967181,,Ship,6,1,"4,100,000","4,100,000",569125,460520
76,727812,,Ship,4,1,"8,600,000","8,600,000",564079,539520
77,885086,,Ship,2,3,"1,300,000","1,300,000",492957,175485
78,317562,,Ship,3,3,"8,000,000","8,000,000",682925,195813
79,827122,,Ship,3,4,"1,100,000","1,100,000",876226,116387
80,176865,,Ship,3,5,"4,800,000","4,800,000",874594,928203
81,637192,,Ship,3,4,"6,900,000","6,900,000",193739,605307
82,270274,,Ship,2,5,"2,700,000","2,700,000",795954,361017
83,456514,,Ship,4,4,"3,600,000","3,600,000",154945,587710
84,754452,,Ship,5,5,"3,200,000","3,200,000",704026,511226
85,561938,,Ship,4,5,"5,900,000","5,900,000",124692,195265
86,930093,,Ship,3,4,"8,400,000","8,400,000",866979,974375
87,592344,,Ship,4,1,"5,300,000","5,300,000",512472,265884
88,466745,,Ship,6,2,"9,500,000","9,500,000",836541,281331
89,640859,,Ship,3,3,"7,900,000","7,900,000",907225,814163
90,441918,,Ship,4,1,"5,900,000","5,900,000",466390,628530
91,552276,,Ship,5,3,"4,500,000","4,500,000",643403,437220
92,301096,,Ship,5,5,"4,200,000","4,200,000",414453,720535
93,321445,,Ship,4,4,"2,500,000","2,500,000",108496,267793
94,270527,,Ship,3,3,"5,100,000","5,100,000",381959,412140
95,133683,,Ship,4,1,"2,300,000","2,300,000",995209,690095
96,593905,,Ship,2,3,"3,000,000","3,000,000",370068,794456
97,761423,,Ship,3,3,"4,000,000","4,000,000",391933,241819
98,504578,,Ship,4,1,"4,000,000","4,000,000",217514,526855
99,670435,,Ship,3,5,"8,100,000","8,100,000",268474,778402
100,983755,,Ship,4,2,"4,500,000","4,500,000",973580,507421
101,814434,,Ship,5,3,"4,700,000","4,700,000",426780,388261
102,369308,,Ship,5,5,"8,600,000","8,600,000",171915,536898
103,260299,,Ship,2,1,"6,500,000","6,500,000",416291,959383
104,438780,,Ship,5,1,"7,600,000","7,600,000",741540,699934
105,886609,,Ship,3,3,"6,300,000","6,300,000",429509,927830
106,957707,,Ship,4,2,"1,300,000","1,300,000",558788,580857
107,885060,,Ship,3,1,"8,900,000","8,900,000",913315,831400
108,684816,,Ship,4,5,"4,800,000","4,800,000",652499,817336
109,443635,,Ship,4,5,"2,600,000","2,600,000",400134,808709
110,469262,,Ship,4,1,"6,100,000","6,100,000",930461,627782
111,400018,,Road,3,1,"1,600,000","1,600,000",662303,218787
112,187493,,Road,4,2,"8,700,000","8,700,000",740100,189388
113,128131,,Road,4,3,"4,600,000","4,600,000",701469,332819
114,241087,,Road,3,2,"3,000,000","3,000,000",135354,194203
115,270299,,Road,3,5,"5,400,000","5,400,000",278398,901530
116,195400,,Road,3,4,"8,600,000","8,600,000",576967,138350
117,553428,,Road,4,1,"3,500,000","3,500,000",844661,244871
118,875670,,Road,4,3,"8,600,000","8,600,000",857639,532522
119,611103,,Road,2,5,"8,500,000","8,500,000",962747,257778
120,203176,,Road,5,1,"8,900,000","8,900,000",443796,713923
121,484033,,Road,4,2,"6,100,000","6,100,000",898013,804259
122,359839,,Road,3,3,"6,500,000","6,500,000",463175,697135
123,814941,,Road,4,2,"1,100,000","1,100,000",668087,968276
124,107185,,Road,3,3,"8,500,000","8,500,000",831145,328959
125,837543,,Road,5,5,"5,000,000","5,000,000",631661,313167
126,640017,,Road,3,3,"3,600,000","3,600,000",916422,115379
127,731634,,Road,4,5,"5,100,000","5,100,000",528640,369593
128,722947,,Road,3,3,"5,900,000","5,900,000",642170,761950
129,389622,,Road,4,4,"6,300,000","6,300,000",874341,599568
130,440995,,Road,4,5,"4,200,000","4,200,000",413234,946101
131,808541,,Road,3,5,"8,200,000","8,200,000",658207,436053
132,104630,,Road,3,4,"2,200,000","2,200,000",360935,963705
133,315562,,Flight,5,2,"9,100,000","9,100,000",578712,898107
134,944956,,Flight,5,4,"3,600,000","3,600,000",682081,680331
135,161833,,Flight,3,3,"8,900,000","8,900,000",316332,298457
136,767000,,Flight,3,5,"4,400,000","4,400,000",885661,374994
137,970209,,Flight,3,3,"3,600,000","3,600,000",567477,662054
138,307624,,Flight,3,5,"6,300,000","6,300,000",261317,921342
139,128813,,Flight,4,1,"9,800,000","9,800,000",547683,341398
140,924833,,Flight,5,1,"7,700,000","7,700,000",145013,479562
141,784147,,Flight,4,4,"4,000,000","4,000,000",753886,350256
142,652066,,Flight,5,4,"3,700,000","3,700,000",159233,137110
143,371762,,Flight,5,5,"2,800,000","2,800,000",828573,635971
144,967262,,Flight,2,1,"6,500,000","6,500,000",271728,261843
145,222147,,Flight,2,1,"7,200,000","7,200,000",613380,359784
146,885949,,Flight,2,2,"7,500,000","7,500,000",106089,772062
147,328057,,Flight,3,5,"6,000,000","6,000,000",961431,383917
148,339661,,Flight,4,3,"8,800,000","8,800,000",214844,617010
149,107165,,Flight,3,3,"1,900,000","1,900,000",129316,385275
150,431748,,Flight,5,1,"9,500,000","9,500,000",581665,121847
151,496525,,Flight,4,4,"8,700,000","8,700,000",593735,631707
152,708079,,Flight,5,3,"2,200,000","2,200,000",145995,464745
153,516415,,Flight,3,4,"5,300,000","5,300,000",910201,981968
154,395008,,Flight,3,3,"2,300,000","2,300,000",226017,542657
155,178501,,Ship,3,3,"7,000,000","7,000,000",228844,690403
156,823318,,Ship,5,1,"3,300,000","3,300,000",625410,641437
157,367079,,Ship,6,3,"1,700,000","1,700,000",157497,291112
158,295426,,Ship,3,2,"2,900,000","2,900,000",414709,981373
159,389819,,Ship,5,5,"8,900,000","8,900,000",578730,211916
160,427964,,Ship,3,3,"2,300,000","2,300,000",543673,754556
161,651322,,Ship,2,2,"4,400,000","4,400,000",978698,572938
162,511360,,Ship,3,1,"5,100,000","5,100,000",499457,637261
163,584957,,Ship,4,1,"7,300,000","7,300,000",642874,690823
164,532199,,Ship,5,2,"3,600,000","3,600,000",709875,274555
165,614639,,Ship,3,5,"1,800,000","1,800,000",393532,365509
166,845869,,Ship,3,3,"1,300,000","1,300,000",166742,412709
167,644939,,Ship,5,2,"9,500,000","9,500,000",744781,705639
168,559162,,Ship,4,5,"2,000,000","2,000,000",584475,221441
169,763429,,Ship,4,2,"6,800,000","6,800,000",706488,868064
170,208116,,Ship,4,3,"7,300,000","7,300,000",809996,708849
171,726614,,Ship,4,3,"5,900,000","5,900,000",140690,834454
172,983643,,Ship,4,4,"7,000,000","7,000,000",593609,125810
173,967087,,Ship,3,4,"8,100,000","8,100,000",155484,778314
174,762083,,Ship,3,2,"9,100,000","9,100,000",643577,510989
175,655201,,Ship,3,3,"5,100,000","5,100,000",158696,846619
176,632899,,Ship,4,4,"9,500,000","9,500,000",682573,791272
177,813398,,Ship,4,5,"3,700,000","3,700,000",908418,484682
178,529066,,Ship,4,5,"4,800,000","4,800,000",715368,411786
179,323283,,Ship,3,3,"9,200,000","9,200,000",536278,816073
180,652046,,Ship,5,5,"3,700,000","3,700,000",616611,281044
181,155552,,Ship,4,1,"7,400,000","7,400,000",185194,395363
182,296808,,Ship,4,5,"3,400,000","3,400,000",178865,328952
183,784879,,Ship,3,2,"8,700,000","8,700,000",484747,652634
184,715037,,Ship,3,5,"9,100,000","9,100,000",421508,645028
185,451462,,Ship,3,3,"1,800,000","1,800,000",638081,742548
186,957056,,Ship,3,2,"6,500,000","6,500,000",230678,799909
187,301734,,Ship,5,4,"6,900,000","6,900,000",333716,836821
188,519501,,Ship,2,1,"1,700,000","1,700,000",687574,410544
189,359195,,Ship,2,5,"1,300,000","1,300,000",584720,938190
190,627025,,Ship,2,4,"1,900,000","1,900,000",603304,168781
191,236196,,Ship,2,5,"4,600,000","4,600,000",791511,327504
192,280533,,Ship,2,5,"7,800,000","7,800,000",265205,715208
193,861449,,Ship,2,4,"2,300,000","2,300,000",177889,840740
194,835940,,Ship,2,2,"9,600,000","9,600,000",538831,799625
195,917232,,Ship,4,2,"2,600,000","2,600,000",116222,276896
196,766223,,Ship,2,5,"2,000,000","2,000,000",341123,167278
197,954816,,Ship,2,2,"6,500,000","6,500,000",523802,670641
198,654565,,Ship,2,3,"8,600,000","8,600,000",691870,903107
199,893723,,Ship,2,3,"2,700,000","2,700,000",769544,911742
200,554124,,Ship,2,2,"9,200,000","9,200,000",310638,535992
201,351011,,Ship,2,3,"6,400,000","6,400,000",116924,237667
202,937696,,Ship,2,3,"2,700,000","2,700,000",463823,792324
203,166803,,Ship,2,4,"1,800,000","1,800,000",877314,396707
204,839091,,Ship,5,3,"6,100,000","6,100,000",373420,497520
205,804064,,Ship,2,5,"5,500,000","5,500,000",592368,125791
206,638316,,Ship,2,3,"5,600,000","5,600,000",172160,308165
207,814249,,Ship,2,2,"1,500,000","1,500,000",723646,705130
208,991278,,Ship,2,2,"7,600,000","7,600,000",180267,239018
209,528350,,Ship,2,4,"5,800,000","5,800,000",332827,620583
210,944952,,Ship,2,5,"6,400,000","6,400,000",664818,508619
211,600634,,Ship,2,1,"5,500,000","5,500,000",748225,672539
212,960802,,Ship,2,5,"6,400,000","6,400,000",442912,884057
213,975506,,Ship,2,5,"3,500,000","3,500,000",153236,610035
214,164705,,Ship,2,5,"4,000,000","4,000,000",764160,646152
215,206950,,Ship,2,4,"6,800,000","6,800,000",378715,464773
216,456394,,Ship,2,5,"9,000,000","9,000,000",197468,305092
217,511184,,Ship,4,3,"5,900,000","5,900,000",513962,420728
218,278539,,Ship,4,4,"4,300,000","4,300,000",297301,185972
219,471270,,Ship,3,4,"2,400,000","2,400,000",240928,830074
220,533840,,Ship,3,5,"5,200,000","5,200,000",196258,642343
221,610265,,Ship,3,4,"6,500,000","6,500,000",547391,771819
222,201337,,Ship,4,3,"8,400,000","8,400,000",836593,377899
223,606873,,Ship,4,2,"2,600,000","2,600,000",638556,557411
224,947218,,Ship,4,5,"4,300,000","4,300,000",990895,608217
225,477220,,Ship,3,4,"9,800,000","9,800,000",206488,255207
226,701662,,Ship,5,4,"8,100,000","8,100,000",178901,748381
227,246069,,Ship,4,3,"3,300,000","3,300,000",357260,315654
228,517671,,Ship,4,2,"8,600,000","8,600,000",111164,723218
229,169017,,Ship,3,2,"2,300,000","2,300,000",648863,917384
230,501505,,Ship,3,3,"8,200,000","8,200,000",195693,576796
231,941093,,Ship,3,1,"3,500,000","3,500,000",746608,704749
232,355432,,Ship,3,4,"9,000,000","9,000,000",452258,359018
233,763874,,Ship,5,5,"3,300,000","3,300,000",853499,879654
234,387787,,Ship,2,1,"1,800,000","1,800,000",545772,901790
235,843271,,Ship,2,1,"5,500,000","5,500,000",248248,145554
236,383978,,Ship,2,2,"8,000,000","8,000,000",265899,910091
237,834427,,Ship,2,3,"1,900,000","1,900,000",337091,196468
238,835750,,Ship,2,2,"4,800,000","4,800,000",796451,804140
239,881694,,Ship,2,3,"2,100,000","2,100,000",445298,340812
240,578119,,Ship,2,3,"1,800,000","1,800,000",206661,781398
241,651831,,Ship,4,5,"3,200,000","3,200,000",680054,933639
242,819543,,Ship,2,4,"2,900,000","2,900,000",512567,119438
243,488394,,Ship,2,2,"8,800,000","8,800,000",660746,975759
244,951035,,Ship,2,4,"6,700,000","6,700,000",932265,254143
245,191060,,Ship,2,1,"7,100,000","7,100,000",657732,387093
246,133316,,Ship,2,4,"1,200,000","1,200,000",172149,128914
247,905672,,Ship,2,3,"6,400,000","6,400,000",945420,994569
248,533015,,Road,2,4,"6,900,000","6,900,000",400576,444746
249,572345,,Road,2,2,"7,000,000","7,000,000",380128,715635
250,894750,,Road,5,5,"5,100,000","5,100,000",223759,346252
251,716448,,Road,2,3,"8,500,000","8,500,000",524672,996919
252,799470,,Road,2,2,"1,300,000","1,300,000",705585,894844
253,593591,,Road,2,1,"8,400,000","8,400,000",650404,400721
254,825534,,Road,2,5,"4,000,000","4,000,000",273460,707354
255,930831,,Road,2,2,"2,500,000","2,500,000",654708,803197
256,296302,,Road,2,2,"4,400,000","4,400,000",651191,560279
257,810502,,Road,2,2,"7,700,000","7,700,000",670266,916578
258,370639,,Road,2,2,"6,400,000","6,400,000",331882,349321
259,134377,,Road,2,3,"1,700,000","1,700,000",662294,304313
260,964368,,Road,2,4,"3,600,000","3,600,000",378832,754022
261,600354,,Road,2,5,"3,500,000","3,500,000",424021,710928
262,451033,,Road,2,3,"5,300,000","5,300,000",729066,131048
263,194893,,Road,3,1,"3,700,000","3,700,000",447985,387508
264,227085,,Road,3,2,"8,800,000","8,800,000",507082,849127
265,948770,,Road,5,3,"3,900,000","3,900,000",335884,943332
266,749147,,Road,7,2,"1,900,000","1,900,000",407160,358663
267,747433,,Road,2,3,"3,400,000","3,400,000",585570,391654
268,974963,,Road,4,1,"9,900,000","9,900,000",847401,327240
269,146616,,Road,3,5,"2,900,000","2,900,000",207989,765516
270,829958,,Flight,4,5,"5,000,000","5,000,000",820209,609413
271,914915,,Flight,3,2,"3,700,000","3,700,000",458387,308698
272,850187,,Flight,5,1,"1,300,000","1,300,000",699270,521042
273,637731,,Flight,4,5,"2,300,000","2,300,000",458873,222259
274,863227,,Flight,2,3,"5,200,000","5,200,000",336521,864346
275,735613,,Flight,3,5,"6,600,000","6,600,000",181226,132108
276,737714,,Flight,5,5,"1,700,000","1,700,000",462348,497708
277,346528,,Flight,4,2,"1,400,000","1,400,000",486483,934857
278,889614,,Flight,4,4,"1,700,000","1,700,000",489061,188197
279,851737,,Flight,4,3,"7,100,000","7,100,000",509260,910514
280,973528,,Flight,3,1,"7,400,000","7,400,000",100682,677232
281,329075,,Flight,3,1,"4,400,000","4,400,000",168590,359339
282,876013,,Flight,5,4,"3,200,000","3,200,000",927467,589714
283,412487,,Flight,3,3,"7,500,000","7,500,000",811118,994464
284,396580,,Flight,5,4,"8,500,000","8,500,000",879502,661522
285,995944,,Flight,5,5,"7,500,000","7,500,000",158432,457826
286,875224,,Flight,2,4,"1,300,000","1,300,000",206729,305950
287,742116,,Flight,5,3,"2,500,000","2,500,000",284400,459136
288,951778,,Flight,4,4,"2,000,000","2,000,000",927936,542764
289,281081,,Flight,5,5,"2,900,000","2,900,000",995284,601372
290,461358,,Flight,4,2,"1,000,000","1,000,000",727693,292784
291,446665,,Flight,4,4,"7,900,000","7,900,000",779219,815403
292,140330,,Ship,4,1,"9,700,000","9,700,000",999366,729297
293,954792,,Ship,4,3,"8,800,000","8,800,000",207353,198650
294,909900,,Ship,3,2,"2,100,000","2,100,000",500176,111770
295,709976,,Ship,5,1,"3,100,000","3,100,000",912274,289109
296,376309,,Ship,3,1,"5,300,000","5,300,000",963643,616996
297,639929,,Ship,4,2,"5,400,000","5,400,000",999247,428628
298,517992,,Ship,4,4,"4,100,000","4,100,000",246510,793327
299,367511,,Ship,4,2,"6,300,000","6,300,000",881624,469461
300,899531,,Ship,4,3,"8,100,000","8,100,000",523866,716633
301,542790,,Ship,5,3,"3,100,000","3,100,000",311706,745621
302,381816,,Ship,4,5,"6,200,000","6,200,000",376609,221597
303,607118,,Ship,3,4,"3,600,000","3,600,000",996978,114689
304,343744,,Ship,4,3,"3,300,000","3,300,000",652842,189115
305,781597,,Ship,3,2,"4,500,000","4,500,000",202133,830395
306,282579,,Ship,4,4,"7,400,000","7,400,000",394356,378708
307,418083,,Ship,3,1,"7,700,000","7,700,000",993987,214743
308,642849,,Ship,3,3,"8,600,000","8,600,000",191490,897151
309,557201,,Ship,4,2,"7,900,000","7,900,000",736782,750413
310,102849,,Ship,5,5,"4,700,000","4,700,000",539230,713054
311,822502,,Ship,3,4,"1,600,000","1,600,000",341236,485349
312,957282,,Ship,3,2,"1,100,000","1,100,000",996880,684861
313,113866,,Ship,3,3,"5,300,000","5,300,000",138783,779715
314,949491,,Ship,4,3,"3,700,000","3,700,000",703793,977106
315,421835,,Ship,4,2,"3,100,000","3,100,000",288385,393559
316,590120,,Ship,4,2,"9,900,000","9,900,000",487434,677810
317,690881,,Ship,4,2,"7,200,000","7,200,000",103041,274926
318,830065,,Ship,4,5,"6,600,000","6,600,000",234002,706629
319,207961,,Ship,3,1,"7,500,000","7,500,000",309201,681889
320,329841,,Ship,4,5,"6,900,000","6,900,000",170216,911776
321,408955,,Ship,3,4,"8,100,000","8,100,000",949665,305410
322,828021,,Ship,4,5,"8,700,000","8,700,000",275805,204687
323,214210,,Ship,3,3,"1,800,000","1,800,000",964751,326903
324,613629,,Ship,3,1,"9,300,000","9,300,000",470806,285339
325,912148,,Ship,5,1,"5,600,000","5,600,000",845613,161369
326,752005,,Ship,3,4,"7,800,000","7,800,000",359502,738740
327,646451,,Ship,3,4,"8,800,000","8,800,000",219646,233124
328,214906,,Ship,4,4,"8,300,000","8,300,000",669006,501963
329,233767,,Ship,5,1,"7,200,000","7,200,000",408737,923097
330,482961,,Ship,4,5,"5,800,000","5,800,000",329688,303094
331,807707,,Ship,3,4,"2,900,000","2,900,000",840519,307426
332,773566,,Ship,4,3,"4,600,000","4,600,000",892038,173696
333,424073,,Ship,3,5,"1,900,000","1,900,000",904675,863990
334,317441,,Ship,3,4,"2,500,000","2,500,000",254215,489364
335,137608,,Ship,4,2,"6,600,000","6,600,000",474273,986251
336,654770,,Ship,3,1,"2,700,000","2,700,000",802436,216845
337,843732,,Ship,5,1,"3,800,000","3,800,000",548805,605596
338,552350,,Ship,4,4,"2,800,000","2,800,000",887099,309561
339,640547,,Ship,3,5,"9,900,000","9,900,000",615167,699701
340,587468,,Ship,4,4,"7,500,000","7,500,000",279554,723346
341,792323,,Ship,2,5,"5,300,000","5,300,000",528828,558780
342,570350,,Ship,3,2,"3,600,000","3,600,000",892755,515391
343,721545,,Ship,4,5,"2,100,000","2,100,000",411376,662465
344,972188,,Ship,2,5,"1,700,000","1,700,000",905225,803056
345,498743,,Ship,5,3,"6,900,000","6,900,000",113565,677901
346,296041,,Ship,5,1,"7,600,000","7,600,000",259888,304861
347,123667,,Ship,5,5,"2,400,000","2,400,000",762898,872991
348,705867,,Ship,5,3,"6,500,000","6,500,000",226000,862622
349,904264,,Ship,4,5,"8,400,000","8,400,000",127878,931131
350,448638,,Ship,5,1,"8,900,000","8,900,000",724874,651211
351,830854,,Ship,4,5,"1,700,000","1,700,000",122575,416331
352,831222,,Ship,5,5,"5,100,000","5,100,000",848699,876376
353,983155,,Ship,2,2,"3,000,000","3,000,000",978585,101202
354,186381,,Ship,4,3,"8,400,000","8,400,000",105085,966539
355,859060,,Ship,3,2,"6,700,000","6,700,000",835318,316061
356,596638,,Ship,5,1,"6,000,000","6,000,000",515308,252584
357,113543,,Ship,3,4,"4,700,000","4,700,000",370847,356940
358,371706,,Ship,2,3,"7,200,000","7,200,000",919393,188615
359,210022,,Ship,3,1,"1,700,000","1,700,000",444858,214270
360,286032,,Ship,4,3,"3,500,000","3,500,000",994749,213917
361,752213,,Ship,5,2,"4,400,000","4,400,000",163502,966908
362,803851,,Ship,3,2,"8,100,000","8,100,000",767062,764955
363,351749,,Ship,3,5,"2,600,000","2,600,000",244789,293138
364,494839,,Ship,4,3,"6,000,000","6,000,000",736734,407463
365,852354,,Ship,6,2,"5,500,000","5,500,000",469947,175366
366,889121,,Ship,3,2,"4,100,000","4,100,000",765526,109821
367,786322,,Ship,3,4,"6,200,000","6,200,000",507678,724474
368,252527,,Ship,3,3,"5,700,000","5,700,000",961223,109051
369,319992,,Ship,3,5,"1,200,000","1,200,000",615143,669150
370,548848,,Ship,3,5,"2,300,000","2,300,000",462514,238530
371,467380,,Ship,4,3,"9,200,000","9,200,000",246156,474167
372,553588,,Ship,4,5,"7,900,000","7,900,000",411464,641867
373,233542,,Ship,4,5,"9,000,000","9,000,000",652127,555938
374,166604,,Ship,5,1,"3,600,000","3,600,000",176928,189117
375,823108,,Ship,5,1,"3,900,000","3,900,000",183139,492954
376,891388,,Ship,3,5,"9,100,000","9,100,000",305491,910033
377,225660,,Ship,2,3,"3,000,000","3,000,000",595765,363636
378,591457,,Ship,5,3,"3,200,000","3,200,000",465177,615277
379,672067,,Ship,3,5,"4,800,000","4,800,000",441581,846348
380,556697,,Ship,3,2,"4,100,000","4,100,000",265208,840385
381,584613,,Ship,3,4,"6,000,000","6,000,000",794784,319049
382,274408,,Ship,5,2,"4,600,000","4,600,000",525552,202212
383,976105,,Ship,5,4,"5,200,000","5,200,000",988516,798279
384,707978,,Ship,4,5,"4,400,000","4,400,000",316229,550615
385,853737,,Road,4,3,"1,300,000","1,300,000",421361,169324
386,724658,,Road,2,5,"5,900,000","5,900,000",469282,253305
387,867139,,Road,3,1,"4,600,000","4,600,000",263564,205024
388,742927,,Road,5,2,"6,600,000","6,600,000",198057,381695
389,353454,,Road,4,3,"6,900,000","6,900,000",399270,754968
390,441987,,Road,4,2,"3,000,000","3,000,000",332602,325770
391,677080,,Road,4,1,"2,800,000","2,800,000",257728,660278
392,698941,,Road,4,1,"6,300,000","6,300,000",555803,214040
393,422660,,Road,4,4,"8,800,000","8,800,000",699821,164672
394,641597,,Road,5,4,"7,400,000","7,400,000",505865,614336
395,606025,,Road,3,2,"4,000,000","4,000,000",349969,765828
